points	occurences	percentage	cdf
2	3919	50.790565059616384	50.790565059616384
3	1565	20.282529808190773	71.07309486780716
4	760	9.849663037843442	80.9227579056506
5	515	6.6744427164333855	87.59720062208399
6	283	3.6677034733022293	91.26490409538621
7	138	1.7884914463452566	93.05339554173148
8	154	1.99585277345775	95.04924831518923
9	59	0.7646448937273198	95.81389320891655
10	68	0.8812856402280974	96.69517884914465
11	81	1.0497667185069985	97.74494556765165
12	23	0.29808190772420945	98.04302747537587
13	29	0.3758424053913945	98.41886988076726
14	17	0.22032141005702435	98.63919129082429
15	13	0.168481078278901	98.80767236910319
16	7	0.09072058061171591	98.8983929497149
17	1	0.012960082944530845	98.91135303265943
18	6	0.07776049766718507	98.98911353032662
19	13	0.168481078278901	99.15759460860552
20	7	0.09072058061171591	99.24831518921724
22	1	0.012960082944530845	99.26127527216177
23	4	0.05184033177812338	99.31311560393989
24	3	0.038880248833592534	99.35199585277348
25	1	0.012960082944530845	99.36495593571802
26	1	0.012960082944530845	99.37791601866255
27	6	0.07776049766718507	99.45567651632973
28	2	0.02592016588906169	99.4815966822188
29	2	0.02592016588906169	99.50751684810785
30	1	0.012960082944530845	99.52047693105239
32	2	0.02592016588906169	99.54639709694145
33	3	0.038880248833592534	99.58527734577504
34	2	0.02592016588906169	99.6111975116641
39	2	0.02592016588906169	99.63711767755316
40	1	0.012960082944530845	99.6500777604977
42	3	0.038880248833592534	99.68895800933129
48	1	0.012960082944530845	99.70191809227582
49	2	0.02592016588906169	99.72783825816488
50	1	0.012960082944530845	99.74079834110941
51	2	0.02592016588906169	99.76671850699847
53	1	0.012960082944530845	99.779678589943
55	6	0.07776049766718507	99.85743908761019
56	4	0.05184033177812338	99.90927941938831
58	4	0.05184033177812338	99.96111975116644
61	1	0.012960082944530845	99.97407983411097
64	2	0.02592016588906169	100.00000000000003
